2025-07-04 08:35:55 [TestNG-test-ChromeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - ************* Staring Of Test Case: loginWithEmailValidInvalidUsers ********************
2025-07-04 08:35:55 [TestNG-test-ChromeTest-1] INFO  avantage.entertainment.testcases.HomePageTestCases - ************* Staring Of Test Case: verifyHeaderElementsInHomePage ********************
2025-07-04 08:35:59 [TestNG-test-ChromeTest-1] INFO  avantage.entertainment.testcases.HomePageTestCases - Hamburger Menu is displayed in the header menu
2025-07-04 08:36:00 [TestNG-test-ChromeTest-1] INFO  avantage.entertainment.testcases.HomePageTestCases - Language Selection icon is displayed in the header menu
2025-07-04 08:36:01 [TestNG-test-ChromeTest-1] INFO  avantage.entertainment.testcases.HomePageTestCases - help button is displayed in the header menu
2025-07-04 08:36:01 [TestNG-test-ChromeTest-1] INFO  avantage.entertainment.testcases.HomePageTestCases - Avanatge logo Image is displayed in the header menu
2025-07-04 08:36:01 [TestNG-test-ChromeTest-1] INFO  avantage.entertainment.testcases.HomePageTestCases - My Contests button is displayed in the header menu
2025-07-04 08:36:01 [TestNG-test-ChromeTest-1] INFO  avantage.entertainment.testcases.HomePageTestCases - Login button is displayed in the header menu
2025-07-04 08:36:01 [TestNG-test-ChromeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - Clicked on Login button in the header
2025-07-04 08:36:02 [TestNG-test-ChromeTest-1] INFO  avantage.entertainment.testcases.HomePageTestCases - Join button is displayed in the header menu
2025-07-04 08:36:02 [TestNG-test-ChromeTest-1] INFO  avantage.entertainment.testcases.HomePageTestCases - ************* End Of Test Case: verifyHeaderElementsInHomePage ********************
2025-07-04 08:36:05 [TestNG-test-ChromeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - Clicked on Login with eamil image button in the login modal
2025-07-04 08:36:07 [TestNG-test-ChromeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - entered email id in the login modal
2025-07-04 08:36:08 [TestNG-test-ChromeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - entered pasword in the login modal
2025-07-04 08:36:09 [TestNG-test-ChromeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - Clicked on Log In button in the login modal
2025-07-04 08:37:05 [TestNG-test-ChromeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - ************* Staring Of Test Case: loginWithEmailValidInvalidUsers ********************
2025-07-04 08:37:11 [TestNG-test-ChromeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - Clicked on Login button in the header
2025-07-04 08:37:12 [TestNG-test-ChromeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - Clicked on Login with eamil image button in the login modal
2025-07-04 08:37:13 [TestNG-test-ChromeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - entered email id in the login modal
2025-07-04 08:37:14 [TestNG-test-ChromeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - entered pasword in the login modal
2025-07-04 08:37:14 [TestNG-test-ChromeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - Clicked on Log In button in the login modal
2025-07-04 08:37:17 [TestNG-test-ChromeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - Error message displayed when logged in with inavlid credential
2025-07-04 08:37:17 [TestNG-test-ChromeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - ************* End Of Test Case: loginWithEmailValidInvalidUsers ********************
2025-07-04 08:37:26 [TestNG-test-EdgeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - ************* Staring Of Test Case: loginWithEmailValidInvalidUsers ********************
2025-07-04 08:37:27 [TestNG-test-EdgeTest-1] INFO  avantage.entertainment.testcases.HomePageTestCases - ************* Staring Of Test Case: verifyHeaderElementsInHomePage ********************
2025-07-04 08:37:31 [TestNG-test-EdgeTest-1] INFO  avantage.entertainment.testcases.HomePageTestCases - Hamburger Menu is displayed in the header menu
2025-07-04 08:37:31 [TestNG-test-EdgeTest-1] INFO  avantage.entertainment.testcases.HomePageTestCases - Language Selection icon is displayed in the header menu
2025-07-04 08:37:31 [TestNG-test-EdgeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - Clicked on Login button in the header
2025-07-04 08:37:32 [TestNG-test-EdgeTest-1] INFO  avantage.entertainment.testcases.HomePageTestCases - help button is displayed in the header menu
2025-07-04 08:37:32 [TestNG-test-EdgeTest-1] INFO  avantage.entertainment.testcases.HomePageTestCases - Avanatge logo Image is displayed in the header menu
2025-07-04 08:37:32 [TestNG-test-EdgeTest-1] INFO  avantage.entertainment.testcases.HomePageTestCases - My Contests button is displayed in the header menu
2025-07-04 08:37:32 [TestNG-test-EdgeTest-1] INFO  avantage.entertainment.testcases.HomePageTestCases - Login button is displayed in the header menu
2025-07-04 08:37:32 [TestNG-test-EdgeTest-1] INFO  avantage.entertainment.testcases.HomePageTestCases - Join button is displayed in the header menu
2025-07-04 08:37:32 [TestNG-test-EdgeTest-1] INFO  avantage.entertainment.testcases.HomePageTestCases - ************* End Of Test Case: verifyHeaderElementsInHomePage ********************
2025-07-04 08:37:33 [TestNG-test-EdgeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - Clicked on Login with eamil image button in the login modal
2025-07-04 08:37:34 [TestNG-test-EdgeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - entered email id in the login modal
2025-07-04 08:37:34 [TestNG-test-EdgeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - entered pasword in the login modal
2025-07-04 08:37:35 [TestNG-test-EdgeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - Clicked on Log In button in the login modal
2025-07-04 08:37:42 [TestNG-test-EdgeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - ************* Staring Of Test Case: loginWithEmailValidInvalidUsers ********************
2025-07-04 08:37:45 [TestNG-test-EdgeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - Clicked on Login button in the header
2025-07-04 08:37:46 [TestNG-test-EdgeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - Clicked on Login with eamil image button in the login modal
2025-07-04 08:37:47 [TestNG-test-EdgeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - entered email id in the login modal
2025-07-04 08:37:48 [TestNG-test-EdgeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - entered pasword in the login modal
2025-07-04 08:37:48 [TestNG-test-EdgeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - Clicked on Log In button in the login modal
2025-07-04 08:37:51 [TestNG-test-EdgeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - Error message displayed when logged in with inavlid credential
2025-07-04 08:37:51 [TestNG-test-EdgeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - ************* End Of Test Case: loginWithEmailValidInvalidUsers ********************
